date,calories,gsr,heart-rate,skin-temp,steps
2014-11-25 07:52Z,1.1,,,,0
2014-11-25 07:53Z,1.1,,,,0
2014-11-25 07:54Z,1.1,,,,0
2014-11-25 07:55Z,0.9,,58,,0
2014-11-25 07:56Z,1.2,4.6425e-05,58,87.8,0
2014-11-25 07:57Z,1.1,,,,0
2014-11-25 07:58Z,1.2,,,,0
2014-11-25 07:59Z,1.1,,,,0
2014-11-25 08:00Z,1.1,,63,,0
2014-11-25 08:01Z,1.2,4.85269e-05,63,87.8,0
2014-11-25 08:02Z,1.2,4.79927e-05,59,87.8,0
2014-11-25 08:03Z,1.1,4.82591e-05,59,87.8,0
2014-11-25 08:04Z,1.1,4.79927e-05,61,86.9,0
2014-11-25 08:05Z,1.1,4.82591e-05,59,86.9,0
2014-11-25 08:06Z,1.1,4.77278e-05,58,86.9,0
2014-11-25 08:07Z,1.2,4.82591e-05,61,86.9,0
2014-11-25 08:08Z,1.4,4.79927e-05,84,86.9,0
2014-11-25 08:09Z,1.1,4.96133e-05,105,86.9,0
2014-11-25 08:10Z,1.4,4.74643e-05,,87.8,0
2014-11-25 08:11Z,1.1,,,,0
2014-11-25 08:12Z,1.1,,,,0
2014-11-25 08:13Z,0.9,,,,0
2014-11-25 08:14Z,0.9,,,,0
2014-11-25 08:15Z,1.1,,,,0
2014-11-25 08:16Z,1.2,,,,0
2014-11-25 08:17Z,1.1,,,,0
2014-11-25 08:18Z,1.4,,56,,0
2014-11-25 08:19Z,1.6,,56,,0
2014-11-25 08:20Z,1.5,4.77278e-05,53,87.8,0
2014-11-25 08:21Z,1.5,4.77278e-05,60,87.8,0
2014-11-25 08:22Z,1.3,4.77278e-05,52,87.8,0
2014-11-25 08:23Z,1.2,4.79927e-05,52,87.8,0
2014-11-25 08:24Z,1.2,4.82591e-05,52,87.8,0
2014-11-25 08:25Z,1.3,4.69418e-05,54,87.8,0
2014-11-25 08:26Z,1.2,4.82591e-05,54,87.8,0
2014-11-25 08:27Z,1.2,4.85269e-05,54,87.8,0
2014-11-25 08:28Z,1.3,4.90671e-05,56,87.8,0
2014-11-25 08:29Z,1.5,4.87963e-05,55,87.8,0
2014-11-25 08:30Z,1.2,4.85269e-05,55,87.8,0
2014-11-25 08:31Z,1.6,4.79927e-05,54,87.8,0
2014-11-25 08:32Z,1.3,4.85269e-05,54,87.8,0
2014-11-25 08:33Z,1.3,4.79927e-05,54,87.8,0
2014-11-25 08:34Z,1.3,4.82591e-05,56,87.8,0
2014-11-25 08:35Z,1.1,4.93394e-05,56,87.8,0
2014-11-25 08:36Z,1.3,4.79927e-05,56,87.8,0
2014-11-25 08:37Z,1.2,4.77278e-05,58,87.8,0
2014-11-25 08:38Z,1.1,4.85269e-05,57,87.8,0
2014-11-25 08:39Z,1.2,4.87963e-05,59,87.8,0
2014-11-25 08:40Z,1.2,4.87963e-05,60,87.8,0
2014-11-25 08:41Z,1.1,4.85269e-05,59,86.9,0
2014-11-25 08:42Z,1.3,4.85269e-05,60,86.9,0
2014-11-25 08:43Z,1.4,4.90671e-05,63,86.9,0
2014-11-25 08:44Z,1.2,4.87963e-05,62,86.9,0
2014-11-25 08:45Z,1.1,4.85269e-05,59,86.9,0
2014-11-25 08:46Z,1.2,4.77278e-05,59,86.9,0
2014-11-25 08:47Z,1.3,4.82591e-05,58,86.9,0
2014-11-25 08:48Z,1.3,4.79927e-05,59,86.9,0
2014-11-25 08:49Z,1.4,4.85269e-05,61,86.9,0
2014-11-25 08:50Z,1.3,4.79927e-05,60,86.9,0
2014-11-25 08:51Z,1.2,4.82591e-05,59,86.9,0
2014-11-25 08:52Z,1.5,4.72024e-05,60,86,0
2014-11-25 08:53Z,1.6,4.77278e-05,58,86,0
2014-11-25 08:54Z,1.2,4.77278e-05,60,86,0
2014-11-25 08:55Z,1.2,4.66827e-05,61,86,0
2014-11-25 08:56Z,1.3,4.66827e-05,62,86,0
2014-11-25 08:57Z,1.2,4.69418e-05,,86,0
2014-11-25 08:58Z,1.2,4.66827e-05,67,86,0
2014-11-25 08:59Z,1.2,4.66827e-05,59,86,0
2014-11-25 09:00Z,1.3,4.82591e-05,57,86,0
2014-11-25 09:01Z,1.4,4.82591e-05,57,86,0
2014-11-25 09:02Z,1.5,4.79927e-05,55,86,0
2014-11-25 09:03Z,1.5,4.79927e-05,55,86,0
2014-11-25 09:04Z,1.4,4.69418e-05,55,86,0
2014-11-25 09:05Z,1.4,4.6425e-05,57,86,0
2014-11-25 09:06Z,1.4,4.66827e-05,56,86,0
2014-11-25 09:07Z,1.3,4.82591e-05,60,86,0
2014-11-25 09:08Z,1.1,4.66827e-05,55,86.9,0
2014-11-25 09:09Z,1.5,4.82591e-05,57,86.9,0
2014-11-25 09:10Z,1.5,4.79927e-05,57,86.9,0
2014-11-25 09:11Z,1.2,4.72024e-05,56,86.9,0
2014-11-25 09:12Z,1.2,4.69418e-05,56,86.9,0
2014-11-25 09:13Z,1.4,4.69418e-05,57,86.9,0
2014-11-25 09:14Z,1.5,4.79927e-05,58,86.9,0
2014-11-25 09:15Z,1.3,4.72024e-05,58,86,0
2014-11-25 09:16Z,1.6,4.69418e-05,57,86,0
2014-11-25 09:17Z,1.1,4.77278e-05,56,86.9,0
2014-11-25 09:18Z,1.2,4.72024e-05,57,86.9,0
2014-11-25 09:19Z,1.1,4.72024e-05,60,86,0
2014-11-25 09:20Z,1.2,4.66827e-05,60,86,0
2014-11-25 09:21Z,1.6,4.69418e-05,59,86,0
2014-11-25 09:22Z,1.8,4.72024e-05,73,86,0
2014-11-25 09:23Z,1.6,4.85269e-05,79,86,0
2014-11-25 09:24Z,1.5,4.85269e-05,74,86.9,0
2014-11-25 09:25Z,1.4,4.98887e-05,74,86.9,0
2014-11-25 09:26Z,1.5,4.93394e-05,65,86.9,0
2014-11-25 09:27Z,1.5,4.98887e-05,65,86.9,0
2014-11-25 09:28Z,1.5,4.90671e-05,64,87.8,0
2014-11-25 09:29Z,1.6,4.82591e-05,65,87.8,0
2014-11-25 09:30Z,1.6,4.87963e-05,63,87.8,0
2014-11-25 09:31Z,1.8,4.93394e-05,76,87.8,0
2014-11-25 09:32Z,1.3,4.85269e-05,67,87.8,0
2014-11-25 09:33Z,1.2,4.93394e-05,63,88.7,0
2014-11-25 09:34Z,1.2,4.93394e-05,59,88.7,0
2014-11-25 09:35Z,1.1,4.93394e-05,60,88.7,0
2014-11-25 09:36Z,1.3,4.85269e-05,59,87.8,0
2014-11-25 09:37Z,1.1,4.87963e-05,56,87.8,0
2014-11-25 09:38Z,1.2,5.01656e-05,55,87.8,0
2014-11-25 09:39Z,2.1,4.79927e-05,67,87.8,0
2014-11-25 09:40Z,1.8,4.85269e-05,74,86.9,0
2014-11-25 09:41Z,1.6,4.79927e-05,66,86.9,0
2014-11-25 09:42Z,1.1,4.79927e-05,56,86,0
2014-11-25 09:43Z,1.1,4.85269e-05,56,86.9,0
2014-11-25 09:44Z,1.1,4.82591e-05,57,86.9,0
2014-11-25 09:45Z,1.1,4.87963e-05,55,86.9,0
2014-11-25 09:46Z,1.2,4.90671e-05,55,86.9,0
2014-11-25 09:47Z,1.3,4.96133e-05,53,87.8,0
2014-11-25 09:48Z,1.1,5.01656e-05,53,87.8,0
2014-11-25 09:49Z,1.2,4.96133e-05,54,87.8,0
2014-11-25 09:50Z,1.4,4.98887e-05,54,88.7,0
2014-11-25 09:51Z,1.1,4.96133e-05,53,88.7,0
2014-11-25 09:52Z,1.1,5.01656e-05,52,88.7,0
2014-11-25 09:53Z,1.4,5.0724e-05,51,88.7,0
2014-11-25 09:54Z,1.2,5.0724e-05,52,88.7,0
2014-11-25 09:55Z,1.1,5.0444e-05,54,88.7,0
2014-11-25 09:56Z,1.1,5.0724e-05,54,88.7,0
2014-11-25 09:57Z,1.1,5.10055e-05,52,88.7,0
2014-11-25 09:58Z,1.2,5.0724e-05,52,89.6,0
2014-11-25 09:59Z,1.1,5.10055e-05,52,89.6,0
2014-11-25 10:00Z,1.1,5.12886e-05,52,89.6,0
2014-11-25 10:01Z,1.1,5.10055e-05,51,89.6,0
2014-11-25 10:02Z,1.1,5.21474e-05,53,89.6,0
2014-11-25 10:03Z,1.4,5.15733e-05,55,89.6,0
2014-11-25 10:04Z,1.1,5.01656e-05,51,89.6,0
2014-11-25 10:05Z,1.2,5.12886e-05,52,89.6,0
2014-11-25 10:06Z,1.1,5.12886e-05,52,89.6,0
2014-11-25 10:07Z,1.2,5.18595e-05,55,90.5,0
2014-11-25 10:08Z,1.1,5.27279e-05,52,90.5,0
2014-11-25 10:09Z,1.1,5.27279e-05,50,90.5,0
2014-11-25 10:10Z,1.1,5.36107e-05,50,91.4,0
2014-11-25 10:11Z,1.2,5.39083e-05,51,91.4,0
2014-11-25 10:12Z,1.1,5.42075e-05,50,91.4,0
2014-11-25 10:13Z,1.1,5.39083e-05,50,91.4,0
2014-11-25 10:14Z,1.1,5.45083e-05,50,92.3,0
2014-11-25 10:15Z,1.2,5.45083e-05,50,92.3,0
2014-11-25 10:16Z,1.1,5.51151e-05,50,92.3,0
2014-11-25 10:17Z,1.1,5.5421e-05,49,92.3,0
2014-11-25 10:18Z,1.1,5.57286e-05,49,92.3,0
2014-11-25 10:19Z,1.1,5.5421e-05,50,92.3,0
2014-11-25 10:20Z,1.2,5.60379e-05,49,92.3,0
2014-11-25 10:21Z,1.1,5.57286e-05,50,92.3,0
2014-11-25 10:22Z,1.1,5.57286e-05,51,92.3,0
2014-11-25 10:23Z,1.1,5.51151e-05,51,92.3,0
2014-11-25 10:24Z,1.1,5.60379e-05,51,92.3,0
2014-11-25 10:25Z,1.1,5.6349e-05,51,92.3,0
2014-11-25 10:26Z,1.1,5.69762e-05,52,92.3,0
2014-11-25 10:27Z,1.1,5.6349e-05,52,93.2,0
2014-11-25 10:28Z,1.1,5.6349e-05,52,93.2,0
2014-11-25 10:29Z,1.2,5.57286e-05,52,93.2,0
2014-11-25 10:30Z,1.1,5.60379e-05,52,93.2,0
2014-11-25 10:31Z,1.1,5.60379e-05,52,93.2,0
2014-11-25 10:32Z,1.1,5.69762e-05,53,93.2,0
2014-11-25 10:33Z,1.1,5.66617e-05,52,93.2,0
2014-11-25 10:34Z,1.1,5.72925e-05,52,93.2,0
2014-11-25 10:35Z,1.1,5.72925e-05,53,93.2,0
2014-11-25 10:36Z,1.2,5.79302e-05,52,93.2,0
2014-11-25 10:37Z,1.1,5.66617e-05,53,93.2,0
2014-11-25 10:38Z,1.1,5.72925e-05,53,93.2,0
2014-11-25 10:39Z,1.1,5.69762e-05,53,93.2,0
2014-11-25 10:40Z,1.1,5.79302e-05,53,93.2,0
2014-11-25 10:41Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:42Z,1.1,5.76104e-05,52,94.1,0
2014-11-25 10:43Z,1.1,5.79302e-05,51,94.1,0
2014-11-25 10:44Z,1.2,5.98864e-05,53,94.1,0
2014-11-25 10:45Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:46Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:47Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:48Z,1.1,5.89002e-05,52,94.1,0
2014-11-25 10:49Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:50Z,1.1,5.82517e-05,55,94.1,0
2014-11-25 10:51Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:52Z,1.2,5.92271e-05,52,94.1,0
2014-11-25 10:53Z,1.1,5.92271e-05,54,94.1,0
2014-11-25 10:54Z,1.1,5.82517e-05,52,94.1,0
2014-11-25 10:55Z,1.1,5.85751e-05,53,94.1,0
2014-11-25 10:56Z,1.1,5.82517e-05,53,94.1,0
2014-11-25 10:57Z,1.2,5.85751e-05,56,94.1,0
2014-11-25 10:58Z,1.1,5.82517e-05,54,94.1,0
2014-11-25 10:59Z,1.1,5.95558e-05,54,94.1,0
2014-11-25 11:00Z,1.2,5.89002e-05,55,94.1,0
2014-11-25 11:01Z,1.1,5.85751e-05,55,94.1,0
2014-11-25 11:02Z,1.1,5.85751e-05,57,94.1,0
2014-11-25 11:03Z,1.1,5.92271e-05,59,94.1,0
2014-11-25 11:04Z,1.2,5.95558e-05,59,94.1,0
2014-11-25 11:05Z,1.1,5.95558e-05,58,94.1,0
2014-11-25 11:06Z,1.1,6.0553e-05,61,94.1,0
2014-11-25 11:07Z,1.2,6.02188e-05,62,94.1,0
2014-11-25 11:08Z,1.1,6.0553e-05,58,94.1,0
2014-11-25 11:09Z,1.3,6.02188e-05,58,94.1,0
2014-11-25 11:10Z,1.2,5.79302e-05,59,94.1,0
2014-11-25 11:11Z,1.2,5.5421e-05,59,94.1,0
2014-11-25 11:12Z,1.2,5.69762e-05,60,94.1,0
2014-11-25 11:13Z,1.1,5.69762e-05,56,94.1,0
2014-11-25 11:14Z,1.2,5.79302e-05,58,94.1,0
2014-11-25 11:15Z,1.1,5.82517e-05,58,94.1,0
2014-11-25 11:16Z,1.3,5.72925e-05,59,94.1,0
2014-11-25 11:17Z,1.1,5.69762e-05,56,94.1,0
2014-11-25 11:18Z,1.1,5.66617e-05,55,94.1,0
2014-11-25 11:19Z,1.2,5.66617e-05,57,93.2,0
2014-11-25 11:20Z,1.1,5.6349e-05,58,93.2,0
2014-11-25 11:21Z,1.1,5.66617e-05,57,92.3,0
2014-11-25 11:22Z,1.1,5.5421e-05,56,92.3,0
2014-11-25 11:23Z,1.1,5.5421e-05,57,92.3,0
2014-11-25 11:24Z,1.2,5.5421e-05,58,91.4,0
2014-11-25 11:25Z,1.1,5.5421e-05,56,91.4,0
2014-11-25 11:26Z,1.2,5.27279e-05,56,91.4,0
2014-11-25 11:27Z,1.1,5.30205e-05,58,91.4,0
2014-11-25 11:28Z,1.2,5.21474e-05,55,91.4,0
2014-11-25 11:29Z,1.2,5.45083e-05,56,91.4,0
2014-11-25 11:30Z,1.1,5.51151e-05,56,91.4,0
2014-11-25 11:31Z,1.1,5.57286e-05,58,92.3,0
2014-11-25 11:32Z,1.1,5.72925e-05,63,93.2,0
2014-11-25 11:33Z,1.1,5.76104e-05,62,93.2,0
2014-11-25 11:34Z,1.1,5.85751e-05,60,94.1,0
2014-11-25 11:35Z,1.2,6.02188e-05,64,94.1,0
2014-11-25 11:36Z,1.2,6.19086e-05,65,95,0
2014-11-25 11:37Z,1.1,6.08891e-05,60,95,0
2014-11-25 11:38Z,1.2,5.89002e-05,56,95,0
2014-11-25 11:39Z,1.1,5.89002e-05,57,94.1,0
